,year,ssp126,ssp245,ssp370,ssp585
0,2020,87.38939698321529,58.27453298169957,78.6526141955465,84.54029135573076
1,2021,84.83217171289317,77.83993440500848,88.10680397592559,86.2556067143769
2,2022,90.92978942314241,91.70095386921555,76.3418573554415,99.13635357740141
3,2023,100.42926076888502,96.16105121235205,84.84243156719582,79.61264486180652
4,2024,103.60323667789744,100.35638550930814,102.3249710740203,85.07611291311639
5,2025,101.40530849350408,107.78660158864172,107.64687517681932,100.55209161856124
6,2026,89.84037621161562,105.40316758633594,93.45745202068422,106.47563922711244
7,2027,93.27747796794351,102.12520055762042,99.26503240406167,104.34906700384819
8,2028,106.80343067832138,94.11611384800649,95.14357735790799,104.70641687009376
9,2029,108.29800877040338,114.23843953748376,96.7384823091581,110.39112341916731
10,2030,104.01550485372903,121.39697560109198,109.16982472002023,104.80617233023015
11,2031,120.91781272207285,119.8085028597066,114.29067004604973,102.45119731356372
12,2032,114.60915247138581,112.04746201431912,105.46950787239793,127.48522180238068
13,2033,108.74507358319676,124.54860924933438,114.23409891564896,122.70924533872292
14,2034,109.82663951528006,118.03157961713524,124.45526453796185,122.56630761582589
15,2035,110.2308008989157,118.23136281446047,128.06372218325825,125.99140492902897
16,2036,118.51705637239449,157.61749206747524,119.84951819919635,139.01000577985596
17,2037,115.36386553572093,137.92608555225016,133.34824719182856,132.27414236830023
18,2038,107.04073371765557,143.89306453307051,149.8325840063443,129.42431067509403
19,2039,118.0719643155357,138.2547432175364,134.01710853673822,153.49231353653852
20,2040,120.21778804802952,140.3868587566691,140.7402213940599,156.37624979251996
21,2041,113.88851326044771,155.32190064205193,149.95957414976564,147.1665907034682
22,2042,127.6887355770184,156.5809989822827,141.24220319941503,150.91708477780128
23,2043,122.67310167942568,146.29937793254777,137.82106737936695,153.95322886955645
24,2044,138.85821605186862,155.48292024727135,155.6316293449869,171.31905486457885
25,2045,137.640657715672,140.8433123660452,147.55496882034996,168.4358803627698
26,2046,137.81951891136717,163.89006775343034,156.02926809706045,178.23607003760833
27,2047,133.66749955361976,159.52029839600078,155.46030097898867,177.30056087209786
28,2048,142.02631817243355,157.80433878079867,171.63265518824068,183.43576712467012
29,2049,148.22100128411876,179.01391704371525,168.29860489651927,190.38852481404297
30,2050,138.44128239266612,154.62979423192357,173.92957605271644,192.35914552338227
31,2051,144.9234218128836,179.27941964536296,187.36049281077553,189.3226479403023
32,2052,135.78039025214605,178.61966120799738,183.3289473422095,192.6989488339773
33,2053,134.89664552130085,176.09710190058001,183.752868296626,188.61351967962986
34,2054,134.79040131366304,179.29507950594115,185.01996209755376,210.7606571870244
35,2055,128.01000502993512,172.47020593749747,196.75504211736796,211.64386706996055
36,2056,130.93798050411735,203.86117980402338,195.9664527554106,216.76053547343136
37,2057,140.19549271821694,188.80579475329458,195.948731870443,222.95546918823118
38,2058,132.48437492166272,194.7732637167384,205.49335117761225,225.83739630890898
39,2059,137.24671395132782,191.4531782302719,204.80589155213008,247.94665930667546
40,2060,143.32878996492374,179.17028062556608,199.4013108404656,246.61924669044546
41,2061,142.73156061048977,201.43027070967457,206.15100009208612,237.88879330337355
42,2062,145.25966750745116,206.18172953209577,212.74792995124844,257.1097425341688
43,2063,133.9266494583921,206.2798505800158,220.58450899305365,250.03768909591392
44,2064,142.01246000750305,197.67431892359866,215.86616923560203,244.4267671343914
45,2065,146.91831317491022,192.7266311146207,212.21505650703241,256.35948590049964
46,2066,134.0967494242381,196.51197387139393,244.37668939978406,272.9064865107797
47,2067,147.6544022125271,203.49446913396693,235.32961094826703,263.8213720571713
48,2068,159.37283316991673,213.55390482688517,243.72352270348134,282.39645499519514
49,2069,159.0786731787124,220.66913690458802,244.0300713439658,289.82971409369526
50,2070,146.88543177255605,211.65995148530735,246.45292814566258,276.23851441602824
51,2071,141.09589724323595,208.7500643198549,253.23027424117544,314.4737351039437
52,2072,160.16263953952108,207.06012229115808,261.7896761677115,316.74119443763675
53,2073,140.30322856947473,203.6228914306493,266.5404055613206,312.32304265684706
54,2074,151.15098885581892,219.1949586843159,256.39309890948374,313.9737650688899
55,2075,150.62404369554332,223.1479122425418,263.2121139837968,316.50097381569213
56,2076,142.29290202138583,219.1785353056164,270.66700354194296,328.9523984731459
57,2077,139.0134798777567,238.94444371908585,271.8980111401564,329.8949965353192
58,2078,141.86025010117413,223.37828352267047,269.86904837071626,337.82871025994433
59,2079,138.98099780375662,224.11174299267662,266.5068131001294,353.37393704765384
60,2080,132.3789356568184,238.20813402079705,272.1686402808905,349.8354886481218
61,2081,134.95238945737842,231.91616370449037,285.3922504954732,362.2200293415565
62,2082,146.93471373848433,231.1514572949999,304.3898881286497,373.0558815607602
63,2083,137.4254679425711,238.81947934952603,297.10591778141634,364.5035677151368
64,2084,128.74147150227674,238.3754308995737,309.37947761552715,388.94382076766567
65,2085,142.61537483287546,225.60641848664508,320.15781531122013,380.08169340031384
66,2086,135.03758097715053,245.47738675630194,311.89567044842744,377.2306622222691
67,2087,129.9207975513463,234.05906832000778,311.45009581123537,377.4590166786145
68,2088,148.01259068176776,246.12019864578173,312.4760361779995,398.6573511333449
69,2089,134.40303893440503,230.95172974694958,316.2056323374846,401.01759948050403
70,2090,133.08747807502965,246.6158444805788,327.69745311925084,415.0477514925475
71,2091,137.89772393297497,247.26558474580955,351.19590831252134,421.2070322874682
72,2092,151.9276405323592,261.49712622064277,345.07916163406264,435.1939432583476
73,2093,145.09344105526694,261.14048257877164,339.2109612026677,438.81274487452686
74,2094,136.41109875001536,262.7735771909538,332.81020998756145,433.6872811678801
75,2095,139.62362083303964,245.42789634341864,358.5629542199487,436.9496768652882
76,2096,129.71181113296348,249.5753582821965,350.59105905667025,455.36646120932295
77,2097,131.62389066661075,237.80255535295848,351.84156998718373,443.485036429241
78,2098,132.61963839016246,250.44817088632584,354.2188240386187,449.84517530190215
79,2099,137.4175091302938,239.9201120639126,369.91452366529796,478.77816963223296
80,2100,131.38099738687873,255.27871083006826,367.6901300629166,467.45328168233135
